threshold,precision,recall,f1,accuracy
0.0,0.37,1.0,0.54,0.37
0.05,0.42,1.0,0.59,0.49
0.1,0.47,1.0,0.64,0.59
0.15,0.55,1.0,0.71,0.69
0.2,0.59,1.0,0.74,0.75
0.25,0.64,1.0,0.78,0.79
0.3,0.72,0.98,0.83,0.85
0.35,0.82,0.98,0.89,0.91
0.4,0.84,0.98,0.9,0.92
0.45,0.93,0.98,0.95,0.96
0.5,0.95,0.93,0.94,0.96
0.55,0.95,0.9,0.93,0.95
0.6,0.95,0.88,0.91,0.94
0.65,1.0,0.88,0.94,0.96
0.7,1.0,0.74,0.85,0.9
0.75,1.0,0.67,0.8,0.88
0.8,1.0,0.55,0.71,0.83
0.85,1.0,0.45,0.62,0.8
0.9,1.0,0.36,0.53,0.76
0.95,1.0,0.17,0.29,0.69
1.0,1.0,0.02,0.05,0.64
