threshold,precision,recall,f1,accuracy
0.0,0.37,1.0,0.54,0.37
0.05,0.49,1.0,0.66,0.62
0.1,0.55,1.0,0.71,0.7
0.15,0.59,1.0,0.74,0.75
0.2,0.64,1.0,0.78,0.79
0.25,0.7,1.0,0.82,0.84
0.3,0.72,1.0,0.84,0.86
0.35,0.77,0.98,0.86,0.89
0.4,0.77,0.98,0.86,0.89
0.45,0.84,0.98,0.9,0.92
0.5,0.85,0.98,0.91,0.93
0.55,0.87,0.95,0.91,0.93
0.6,0.89,0.95,0.92,0.94
0.65,0.91,0.95,0.93,0.95
0.7,0.93,0.93,0.93,0.95
0.75,0.98,0.93,0.95,0.96
0.8,0.97,0.88,0.92,0.95
0.85,0.97,0.88,0.92,0.95
0.9,0.97,0.79,0.87,0.91
0.95,1.0,0.79,0.88,0.92
1.0,0.0,0.0,0.0,0.63
