threshold,precision,recall,f1,accuracy
0.0,0.37,1.0,0.54,0.37
0.05,0.72,1.0,0.84,0.86
0.1,0.76,1.0,0.87,0.89
0.15,0.76,1.0,0.87,0.89
0.2,0.76,1.0,0.87,0.89
0.25,0.79,1.0,0.88,0.9
0.3,0.79,1.0,0.88,0.9
0.35,0.82,1.0,0.9,0.92
0.4,0.82,1.0,0.9,0.92
0.45,0.82,1.0,0.9,0.92
0.5,0.82,1.0,0.9,0.92
0.55,0.84,1.0,0.91,0.93
0.6,0.86,1.0,0.92,0.94
0.65,0.88,1.0,0.93,0.95
0.7,0.88,1.0,0.93,0.95
0.75,0.91,1.0,0.95,0.96
0.8,0.91,1.0,0.95,0.96
0.85,0.93,1.0,0.97,0.97
0.9,0.93,1.0,0.97,0.97
0.95,0.98,0.98,0.98,0.98
1.0,0.0,0.0,0.0,0.63
